"Date","Price","Open","High","Low","Vol.","Change %"
"11-11-2024","256.90","262.35","262.35","256.00","8.45M","-2.15%"
"08-11-2024","262.55","265.95","266.50","259.65","7.84M","-1.00%"
"07-11-2024","265.20","270.50","270.50","264.80","6.77M","-1.43%"
"06-11-2024","269.05","267.70","270.60","264.40","19.24M","0.62%"
"05-11-2024","267.40","265.20","268.60","263.60","11.68M","0.79%"
"04-11-2024","265.30","274.00","274.35","260.15","14.36M","-2.37%"
"01-11-2024","271.75","269.80","274.00","268.65","2.96M","2.10%"
"31-10-2024","266.15","263.40","268.30","261.15","16.17M","1.72%"
"30-10-2024","261.65","265.00","266.20","261.05","11.17M","-1.26%"
"29-10-2024","265.00","263.35","265.55","259.40","9.12M","0.63%"
"28-10-2024","263.35","260.65","265.05","255.30","13.84M","-0.27%"
"25-10-2024","264.05","270.00","270.30","261.60","12.96M","-1.88%"
"24-10-2024","269.10","271.90","272.45","268.35","7.49M","-0.65%"
"23-10-2024","270.85","270.00","274.40","265.05","18.82M","0.02%"
"22-10-2024","270.80","278.00","278.15","270.00","10.03M","-2.10%"
"21-10-2024","276.60","281.15","284.00","274.55","10.30M","-2.36%"
"18-10-2024","283.30","282.00","284.50","279.20","14.03M","0.60%"
"17-10-2024","281.60","285.00","287.60","280.95","13.34M","-1.33%"
"16-10-2024","285.40","283.00","287.25","280.65","18.19M","0.60%"
"15-10-2024","283.70","286.40","286.40","280.85","15.09M","-0.98%"
"14-10-2024","286.50","292.70","292.90","285.15","12.69M","-2.07%"
"11-10-2024","292.55","291.30","293.65","289.50","7.01M","1.32%"
"10-10-2024","288.75","288.70","292.15","287.55","7.24M","0.09%"
"09-10-2024","288.50","291.25","291.90","286.85","13.15M","-1.69%"
"08-10-2024","293.45","288.15","293.90","280.55","10.57M","1.38%"
"07-10-2024","289.45","296.00","296.30","281.50","20.92M","-1.96%"
"04-10-2024","295.25","297.00","299.70","293.20","23.10M","1.10%"
"03-10-2024","292.05","295.00","298.00","290.55","28.12M","0.03%"
"01-10-2024","291.95","297.00","299.15","290.70","10.92M","-1.90%"
"30-09-2024","297.60","297.00","301.80","293.75","16.29M","0.13%"
"27-09-2024","297.20","292.70","298.45","289.70","35.71M","0.68%"
"26-09-2024","295.20","297.05","298.70","291.50","27.81M","-1.17%"
"25-09-2024","298.70","299.45","301.20","296.70","10.61M","-0.25%"
"24-09-2024","299.45","296.30","302.00","294.70","16.99M","1.35%"
"23-09-2024","295.45","288.40","296.40","287.55","14.62M","3.21%"
"20-09-2024","286.25","287.00","289.05","285.20","16.59M","0.35%"
"19-09-2024","285.25","287.40","289.20","282.50","17.07M","-1.77%"
"18-09-2024","290.40","297.60","297.80","287.90","13.42M","-1.44%"
"17-09-2024","294.65","293.70","296.60","292.15","11.87M","0.74%"
"16-09-2024","292.50","294.80","295.40","291.35","10.97M","0.36%"
"13-09-2024","291.45","295.70","297.25","291.05","13.67M","-0.88%"
"12-09-2024","294.05","288.00","294.75","286.50","21.96M","3.07%"
"11-09-2024","285.30","292.40","292.40","283.25","44.83M","-3.48%"
"10-09-2024","295.60","300.10","301.50","295.00","15.62M","-1.10%"
"09-09-2024","298.90","308.70","308.70","294.65","30.37M","-3.21%"
"06-09-2024","308.80","311.50","313.15","303.70","27.95M","-0.83%"
"05-09-2024","311.40","316.95","316.95","310.15","15.57M","-0.95%"
"04-09-2024","314.40","315.00","316.20","308.40","25.40M","-2.42%"
"03-09-2024","322.20","327.00","328.00","321.65","10.32M","-1.23%"
"02-09-2024","326.20","330.00","331.95","325.80","8.98M","-1.38%"
"30-08-2024","330.75","330.45","334.40","329.55","19.67M","0.35%"
"29-08-2024","329.60","326.10","330.15","324.95","13.80M","0.55%"
"28-08-2024","327.80","328.65","330.30","324.65","12.45M","-0.32%"
"27-08-2024","328.85","329.40","332.55","326.00","20.17M","0.31%"
"26-08-2024","327.85","323.50","329.10","322.80","21.35M","2.81%"
"23-08-2024","318.90","324.40","324.80","317.55","13.23M","-1.68%"
"22-08-2024","324.35","328.55","330.50","323.60","13.39M","-1.02%"
"21-08-2024","327.70","330.65","331.50","326.50","11.84M","-0.73%"
"20-08-2024","330.10","335.85","336.00","328.05","14.97M","-1.55%"
"19-08-2024","335.30","335.00","338.75","333.55","19.64M","1.73%"
"16-08-2024","329.60","332.55","335.75","328.65","16.58M","0.44%"
"14-08-2024","328.15","335.85","336.50","326.80","17.81M","-2.31%"
"13-08-2024","335.90","344.10","345.00","332.95","28.94M","-1.58%"
"12-08-2024","341.30","332.75","344.70","329.90","34.75M","2.63%"
"09-08-2024","332.55","333.95","335.85","328.20","29.81M","3.05%"
"08-08-2024","322.70","329.00","329.00","321.70","23.48M","-1.94%"
"07-08-2024","329.10","312.40","330.95","312.00","66.11M","7.51%"
"06-08-2024","306.10","314.80","322.45","305.15","28.39M","-1.34%"
"05-08-2024","310.25","320.35","323.30","306.00","37.99M","-6.01%"
"02-08-2024","330.10","338.00","338.00","328.65","22.94M","-3.41%"
"01-08-2024","341.75","337.80","344.70","337.15","36.04M","2.26%"
"31-07-2024","334.20","332.05","337.45","329.75","21.39M","0.69%"
"30-07-2024","331.90","332.00","338.25","331.00","19.79M","-0.30%"
"29-07-2024","332.90","333.80","339.55","330.75","26.72M","0.39%"
"26-07-2024","331.60","336.50","338.50","330.10","25.70M","-1.25%"
"25-07-2024","335.80","318.05","337.55","316.10","42.05M","5.09%"
"24-07-2024","319.55","313.05","325.75","312.10","28.26M","1.72%"
"23-07-2024","314.15","320.05","321.40","297.40","37.87M","-2.07%"
"22-07-2024","320.80","320.00","323.35","314.50","22.23M","0.36%"
"19-07-2024","319.65","333.00","333.20","318.05","26.58M","-3.63%"
"18-07-2024","331.70","325.10","333.30","321.65","48.19M","2.80%"
"16-07-2024","322.65","323.60","327.60","319.75","37.47M","0.05%"
"15-07-2024","322.50","311.80","323.65","308.65","51.44M","5.01%"
"12-07-2024","307.10","306.80","311.75","304.20","31.79M","0.77%"
"11-07-2024","304.75","300.00","307.20","295.15","36.02M","2.21%"
"10-07-2024","298.15","299.70","299.80","288.85","19.28M","0.24%"
"09-07-2024","297.45","300.80","301.85","293.35","18.69M","-0.57%"
"08-07-2024","299.15","290.00","303.00","287.35","53.14M","3.80%"
"05-07-2024","288.20","277.25","289.30","276.50","39.78M","4.02%"
"04-07-2024","277.05","275.00","278.90","273.05","13.44M","0.86%"
"03-07-2024","274.70","276.00","277.70","274.00","9.13M","-0.05%"
"02-07-2024","274.85","273.20","279.80","271.50","24.47M","0.70%"
"01-07-2024","272.95","275.00","275.80","271.60","11.75M","-0.46%"
"28-06-2024","274.20","269.00","275.45","268.35","19.53M","2.50%"
"27-06-2024","267.50","267.40","268.10","263.50","22.83M","-0.09%"
"26-06-2024","267.75","266.90","269.15","264.10","10.65M","0.28%"
"25-06-2024","267.00","270.10","270.80","265.00","14.43M","-1.07%"
"24-06-2024","269.90","269.65","271.25","266.60","7.28M","0.09%"
"21-06-2024","269.65","271.45","274.75","268.90","17.41M","-0.81%"
"20-06-2024","271.85","271.80","274.00","269.10","12.83M","0.11%"
"19-06-2024","271.55","275.90","276.60","271.10","13.36M","-1.54%"
"18-06-2024","275.80","278.95","279.00","274.00","17.04M","0.15%"
"14-06-2024","275.40","277.00","278.20","274.60","10.64M","-0.42%"
"13-06-2024","276.55","278.00","278.00","272.50","16.01M","0.38%"
"12-06-2024","275.50","278.00","279.10","274.60","20.56M","0.71%"
"11-06-2024","273.55","266.85","275.00","265.25","47.27M","5.56%"
"10-06-2024","259.15","264.00","264.00","258.05","14.14M","-0.48%"
"07-06-2024","260.40","253.50","260.80","251.80","22.01M","3.21%"
"06-06-2024","252.30","254.00","259.50","249.25","30.88M","1.94%"
"05-06-2024","247.50","247.00","249.75","230.45","37.08M","4.74%"
"04-06-2024","236.30","285.00","285.00","223.00","72.78M","-16.83%"
"03-06-2024","284.10","277.95","286.55","273.20","30.20M","7.47%"
"31-05-2024","264.35","268.45","268.45","263.00","24.17M","-0.88%"
"30-05-2024","266.70","273.00","275.10","265.00","15.39M","-1.89%"
"29-05-2024","271.85","273.80","273.80","270.25","8.33M","-0.89%"
"28-05-2024","274.30","279.30","279.30","273.05","6.93M","-1.21%"
"27-05-2024","277.65","284.00","284.20","275.70","13.72M","-1.98%"
"24-05-2024","283.25","284.00","285.95","281.85","11.04M","-0.07%"
"23-05-2024","283.45","279.95","284.55","279.10","17.72M","1.96%"
"22-05-2024","278.00","284.00","284.00","276.90","17.94M","-0.75%"
"21-05-2024","280.10","281.10","284.00","278.35","17.56M","0.39%"
"18-05-2024","279.00","280.30","281.70","278.45","2.01M","0.56%"
"17-05-2024","277.45","278.80","283.40","276.60","11.53M","-0.07%"
"16-05-2024","277.65","276.00","279.35","273.80","23.76M","1.54%"
"15-05-2024","273.45","274.50","276.00","272.50","6.37M","0.20%"
"14-05-2024","272.90","267.95","274.65","266.45","9.12M","2.25%"
"13-05-2024","266.90","271.90","271.90","262.05","7.16M","-1.24%"
"10-05-2024","270.25","267.00","271.20","264.45","9.53M","1.89%"
"09-05-2024","265.25","277.25","278.55","263.20","14.87M","-4.19%"
"08-05-2024","276.85","273.50","280.25","272.35","12.80M","1.19%"
"07-05-2024","273.60","283.90","285.00","272.00","13.18M","-3.03%"
"06-05-2024","282.15","288.70","288.75","275.25","15.49M","-1.38%"
"03-05-2024","286.10","284.00","292.95","284.00","28.91M","1.17%"
"02-05-2024","282.80","281.00","284.60","279.05","15.68M","-0.02%"
"30-04-2024","282.85","284.50","286.35","281.45","10.66M","-0.12%"
"29-04-2024","283.20","283.95","285.25","282.15","8.95M","0.11%"
"26-04-2024","282.90","283.00","286.15","282.20","11.07M","0.34%"
"25-04-2024","281.95","279.35","282.60","278.00","17.05M","0.93%"
"24-04-2024","279.35","277.60","280.40","276.30","9.25M","0.92%"
"23-04-2024","276.80","276.85","278.75","275.55","8.80M","0.00%"
"22-04-2024","276.80","277.30","278.00","273.75","14.18M","0.56%"
"19-04-2024","275.25","276.75","280.80","274.10","32.66M","0.40%"
"18-04-2024","274.15","286.00","287.70","273.35","34.14M","-3.18%"
"16-04-2024","283.15","277.00","292.55","275.25","79.08M","1.18%"
"15-04-2024","279.85","269.10","282.95","267.10","75.06M","5.33%"
"12-04-2024","265.70","271.90","272.50","265.00","21.89M","-2.32%"
"10-04-2024","272.00","269.95","273.20","269.15","11.14M","1.13%"
"09-04-2024","268.95","270.00","272.65","268.00","13.17M","-0.54%"
"08-04-2024","270.40","267.55","272.00","266.60","13.01M","0.91%"
"05-04-2024","267.95","267.85","271.90","266.50","13.03M","-0.39%"
"04-04-2024","269.00","278.65","278.65","265.35","24.62M","-2.31%"
"03-04-2024","275.35","275.05","279.00","273.85","22.60M","1.05%"
"02-04-2024","272.50","270.10","274.05","269.45","14.44M","0.96%"
"01-04-2024","269.90","268.05","271.50","267.80","6.44M","0.69%"
"28-03-2024","268.05","262.45","271.00","261.95","18.89M","2.41%"
"27-03-2024","261.75","265.00","268.20","259.65","28.56M","-1.41%"
"26-03-2024","265.50","261.65","267.90","259.30","10.83M","0.85%"
"22-03-2024","263.25","262.95","265.25","258.45","13.03M","0.11%"
"21-03-2024","262.95","264.70","266.95","262.35","12.16M","-0.34%"
"20-03-2024","263.85","259.45","264.60","257.20","10.48M","1.77%"
